SYMBOL,GR response to iNKT,VIP
CPVL, -0.0090,0.9962
AMT, -0.0089,1.2545
DCP1B, -0.0085,1.2153
ARHGAP4, -0.0085,1.1787
SOX4, -0.0085,0.9585
TCF7L1, -0.0083,1.1616
KRT6A, -0.0083,1.0304
CRISPLD1, -0.0081,1.227
TMEM178A, -0.0081,0.9462
FKBP1B, -0.0079,1.1713
SLC22A15, -0.0078,1.1921
MAPK11, -0.0077,1.1394
TUBB, -0.0075,1.2634
LIMS4, -0.0075,1.2631
KCNQ5, -0.0075,1.2606
GBP6, -0.0075,1.235
MACC1, -0.0075,1.2251
CCND1, -0.0075,1.1711
RTKN2, -0.0075,1.0793
TMEM98, -0.0075,0.9833
WASH6P, -0.0074,1.2584
SLC12A2, -0.0074,1.2048
FERMT1, -0.0074,1.1705
SOX2, -0.0073,1.2631
TFF2, -0.0073,1.263
GJB6, -0.0073,1.2629
PHACTR3, -0.0073,1.2627
IGF2, -0.0073,1.2617
MMP10, -0.0073,1.2573
DDR1, -0.0073,1.2569
PCDHB8, -0.0073,1.1534
GMFG, -0.0072,1.2614
RCN3, -0.0072,1.2581
SLC22A20P, -0.0072,1.2561
CELF2, -0.0072,1.2435
TMPRSS3, -0.0072,1.1738
CTHRC1, -0.0072,1.148
FBN2, -0.0071,1.2618
RASGRF2, -0.0071,1.2429
ANKRD1, -0.0071,1.2261
GRHL3, -0.0071,1.1774
GALNT5, -0.0071,1.0904
TLR4, -0.0070,1.2594
SLC14A1, -0.0070,1.2573
RAB30, -0.0070,1.2174
ARID3A, -0.0070,0.8657
CCDC152, -0.0069,1.258
NUAK1, -0.0069,1.2204
BEX4, -0.0068,1.2553
DOCK9, -0.0068,1.2546
FAM43A, -0.0068,1.2416
SLC4A11, -0.0068,1.2308
OTULINL, -0.0068,1.2263
SPEF2, -0.0068,1.2242
UPK1B, -0.0067,1.2389
PGM2L1, -0.0067,1.2099
SCGB1A1, -0.0067,1.1936
MIPOL1, -0.0067,1.1925
PROM1, -0.0066,1.2042
PAK1, -0.0066,1.1619
HS6ST2, -0.0066,1.1148
PCDHB2, -0.0066,1.0636
PDZD2, -0.0066,1.0535
TAGLN, -0.0066,1.0526
GALNT6, -0.0064,1.2553
NOG, -0.0064,1.1644
SNCA, -0.0064,1.1195
GRK5, -0.0063,1.2173
ZNF229, -0.0063,1.1243
PDE9A, -0.0063,0.9368
LMO2, -0.0062,1.2337
CD109, -0.0062,1.2115
UBE3D, -0.0062,1.1774
ANKRD22, -0.0062,1.0256
MVB12B, -0.0062,1.0028
GJB2, -0.0061,1.2467
SH3BGRL2, -0.0061,1.2225
PGF, -0.0061,1.1881
CYB5R4, -0.0061,1.1623
PLEKHG5, -0.0060,1.2057
SHROOM2, -0.0060,1.0401
FAM210B, -0.0059,1.2267
LIMD2, -0.0059,1.1714
SIX1, -0.0059,1.1338
TFPI2, -0.0059,1.1285
CCNG2, -0.0059,1.0252
ENTPD3, -0.0059,1.0026
WDR72, -0.0059,0.8096
TPBG, -0.0058,1.2342
EXT2, -0.0058,1.197
BMP2, -0.0058,1.1267
LRIG1, -0.0058,1.0848
DAP, -0.0057,1.2049
AQP3, -0.0057,1.0704
KCNJ15, -0.0056,1.2358
SULF2, -0.0056,1.2066
EYA2, -0.0056,1.1787
C20orf96, -0.0056,0.9559
WFDC2, -0.0055,1.2207
LIPG, -0.0055,1.2189
RAI14, -0.0055,1.1728
HTR7, -0.0055,1.0275
RPH3AL, -0.0054,1.2347
IL23A, -0.0054,1.2293
CORO1A, -0.0054,1.2035
EFEMP1, -0.0054,1.1982
C6orf141, -0.0053,1.1991
