"","SYMBOL","KKKD131","KKKD068","KKU055","KKU213C","KKU213A","SSP25","KKU213B","RBE","TFK1"
"1","SPTLC1",78.36,120.51,64.69,139.87,154.69,117.84,146.41,121.19,53.61
"2","ORAI3",10.37,15.87,3.08,11.91,13.5,7.42,16.04,20.04,5.94
"3","IGF2BP3",40.23,54.27,38.07,7.91,22.19,155.69,8.32,14.71,19.77
"5","RNF139",28.83,35.8,36.96,26.05,31.81,28.02,28.72,34.26,38.39
"6","MRPL57",24.08,19,25.25,21.54,17.07,25.05,20.04,20.37,17.89
"7","BPNT1",34.83,25.79,55.5,26.4,45.94,29.45,15.37,30.31,34.7
"8","GATAD1",13.39,30.83,17.17,16.62,14.34,20.35,25.95,22.94,26.83
"9","UBR5",57.47,46.21,64.43,40.75,62.87,47.19,45.8,50.72,36.84
"13","AMD1P4",0,0.27,0.28,0.13,0.07,0.28,0.12,0.22,0.2
"14","AC107956.1",0.37,0.6,0.49,0.36,0,0.1,0.61,0.29,0.25
"15","ICE1",57.09,19.83,29.07,21.09,21.03,27.9,36.74,16.78,14.28
"16","MAP4",42.66,104.55,124.58,104.64,99.25,101.55,113.02,147.29,57.75
"17","PCDHB11",1.93,0.04,0.08,0.02,0.09,0.09,0.03,0.12,0.87
"18","CTSO",0.62,3.91,2.58,0.16,0.16,4.89,0.12,11.52,1.91
"21","OR5H14",0.01,0.03,0.03,0.03,0.03,0.1,0.02,0.01,0.08
"22","PLK5",0.13,0.1,0.36,0.12,0.24,0.17,0.12,0.13,0
"23","GTF2IP20",2.52,2.09,3.72,2.41,2.62,2.87,1.74,3.53,3.11
"24","FAM83F",12.33,0.04,0.03,6.55,7.05,1.09,2.54,0.01,11.6
"25","SOST",0.06,0.07,2.56,0.04,0,0.59,0,0,0
"26","MMP9",1.53,8.22,0.11,0.04,0.46,1.28,0,0.06,0.07
"28","CCDC144NL",0.34,11.61,0,60.08,0,0.41,9.78,0,0.34
"30","DPH6",27.62,15.04,18.49,50.08,30.04,19.19,30.48,13.32,44.87
"31","SECISBP2L",12.79,14.15,13.21,8.92,8.72,15.98,7.99,12.45,22.35
"32","GRWD1",41.11,20.06,43.16,29.76,28.08,49.73,30.45,33.7,40.44
"33","WIPF3",0.35,0.69,1.13,0,0.06,0.02,0.02,0.89,0.08
"35","KCNAB1",1.34,0.06,0.05,0.65,0.67,0.06,1.62,0.02,0.5
"38","ANO3",0.05,0.55,0.09,1.75,0.22,0.01,0.27,0.02,0.11
"40","THEMIS2",6.29,0.31,0.65,3.19,11.88,2.58,4.51,0.4,1.28
"41","FAM213A",33.81,37.5,47.26,53.09,43.44,8.6,62.25,59.45,44.36
"42","FAM234B",6.71,8.66,4.62,5.54,2.25,3.81,5.54,3.7,1.03
"46","GUCY1B1",1.64,3.47,1.56,0.08,0.12,6.53,0.09,7.12,1.74
"47","AC067968.1",0.97,0.91,0.83,0.12,0.55,0,0.3,0,0.5
"49","PRMT2",78.77,123.05,75.53,31.66,46.39,66.69,47.78,44.14,27.19
"50","CDK12",44.9,38.04,41.66,38.62,42.29,48.92,30.33,38.75,43.23
"51","FAM122C",2.94,8.62,12.92,6.11,3.53,10.35,6.01,3.26,1.63
"52","ATXN7L3B",18.98,16.97,19.8,11.94,16.84,18.53,14.04,24.43,29.3
