SYMBOL,KKKD131,KKKD068,KKU055,KKU213C,KKU213A,SSP25,KKU213B,RBE,TFK1
SPTLC1,78.36,120.51,64.69,139.87,154.69,117.84,146.41,121.19,53.61
ORAI3,10.37,15.87,3.08,11.91,13.5,7.42,16.04,20.04,5.94
IGF2BP3,40.23,54.27,38.07,7.91,22.19,155.69,8.32,14.71,19.77
AL445933.1,0,0,0,0,0,0.06,0,0,0
RNF139,28.83,35.8,36.96,26.05,31.81,28.02,28.72,34.26,38.39
MRPL57,24.08,19,25.25,21.54,17.07,25.05,20.04,20.37,17.89
BPNT1,34.83,25.79,55.5,26.4,45.94,29.45,15.37,30.31,34.7
GATAD1,13.39,30.83,17.17,16.62,14.34,20.35,25.95,22.94,26.83
UBR5,57.47,46.21,64.43,40.75,62.87,47.19,45.8,50.72,36.84
DLSTP1,0,0.14,0,0,0,0.11,0,0,0
PCGF7P,0,0,0,0,0,0,0,0,0
HSPD1P3,0,0,0,0,0,0,0.02,0,0
AMD1P4,0,0.27,0.28,0.13,0.07,0.28,0.12,0.22,0.2
AC107956.1,0.37,0.6,0.49,0.36,0,0.1,0.61,0.29,0.25
ICE1,57.09,19.83,29.07,21.09,21.03,27.9,36.74,16.78,14.28
MAP4,42.66,104.55,124.58,104.64,99.25,101.55,113.02,147.29,57.75
PCDHB11,1.93,0.04,0.08,0.02,0.09,0.09,0.03,0.12,0.87
CTSO,0.62,3.91,2.58,0.16,0.16,4.89,0.12,11.52,1.91
RHOXF1P2,0,1.13,0,0,0,0,0,0,0
SLC22A10,0,0,0.08,0,0,0.13,0,0.13,0
OR5H14,0.01,0.03,0.03,0.03,0.03,0.1,0.02,0.01,0.08
PLK5,0.13,0.1,0.36,0.12,0.24,0.17,0.12,0.13,0
GTF2IP20,2.52,2.09,3.72,2.41,2.62,2.87,1.74,3.53,3.11
FAM83F,12.33,0.04,0.03,6.55,7.05,1.09,2.54,0.01,11.6
SOST,0.06,0.07,2.56,0.04,0,0.59,0,0,0
MMP9,1.53,8.22,0.11,0.04,0.46,1.28,0,0.06,0.07
CKM,0,0,0,0.16,0.05,0,0.05,0,0
CCDC144NL,0.34,11.61,0,60.08,0,0.41,9.78,0,0.34
APELA,0,0,0.03,0,0,0,0,0.03,0
DPH6,27.62,15.04,18.49,50.08,30.04,19.19,30.48,13.32,44.87
SECISBP2L,12.79,14.15,13.21,8.92,8.72,15.98,7.99,12.45,22.35
GRWD1,41.11,20.06,43.16,29.76,28.08,49.73,30.45,33.7,40.44
WIPF3,0.35,0.69,1.13,0,0.06,0.02,0.02,0.89,0.08
SERPINA9,0,0,0,0,0,0,0,0,0
KCNAB1,1.34,0.06,0.05,0.65,0.67,0.06,1.62,0.02,0.5
AC009136.2,0,0,0,0,0,0,0,0,0
MCCD1P2,0,0,0,0,0.64,0,0,0,0
ANO3,0.05,0.55,0.09,1.75,0.22,0.01,0.27,0.02,0.11
AC225613.1,0,0,0,0,0,0,0,0,0.39
THEMIS2,6.29,0.31,0.65,3.19,11.88,2.58,4.51,0.4,1.28
FAM213A,33.81,37.5,47.26,53.09,43.44,8.6,62.25,59.45,44.36
FAM234B,6.71,8.66,4.62,5.54,2.25,3.81,5.54,3.7,1.03
RPL21P116,0,0.3,0,0,0,0,0,0,0
RPL8P2,0.22,0,0,0,0,0,0.24,0.23,0
AL590762.2,0,0,0.27,0,0,0,0,0.18,0
GUCY1B1,1.64,3.47,1.56,0.08,0.12,6.53,0.09,7.12,1.74
AC067968.1,0.97,0.91,0.83,0.12,0.55,0,0.3,0,0.5
C20orf141,0,0,0,0,0,0.37,0,0,0
PRMT2,78.77,123.05,75.53,31.66,46.39,66.69,47.78,44.14,27.19
CDK12,44.9,38.04,41.66,38.62,42.29,48.92,30.33,38.75,43.23
FAM122C,2.94,8.62,12.92,6.11,3.53,10.35,6.01,3.26,1.63
ATXN7L3B,18.98,16.97,19.8,11.94,16.84,18.53,14.04,24.43,29.3
GIGYF2,27.42,39.94,36.81,31.27,29.3,40.47,24.66,35.63,35.33
SAMD9L,0.75,5.48,2.39,5,2.06,8.54,1.11,0.27,0.45
MDC1,0,0,0,5.13,9.2,0,7.08,0,0
TAB3P1,0,0,0,0,0,0,0,0,0.12
GTF2IP11,0,0.79,0,0.41,0.4,0,0,0.32,1.86
HNRNPA1P27,0,0.63,0,0.1,0.1,0.34,0,0,0.51
NINJ2,1.38,5.26,0.36,0.11,0,0.43,0,0,5.72
COX20,60.15,80.04,92.98,44.73,58.33,105.55,68.57,78.09,85.78
LIMS2,0.13,1.36,1.24,0.24,0.04,0.34,0.31,0.08,0.1
HNRNPA1P66,0,0.22,0,0.11,0,0,0.28,0,0
AC135731.2,0,0,0,0,0,0,0,0,0
EPHB6,5.83,40.85,0.2,0.23,0.32,0.49,0.54,1.15,1.06
SAV1,76.01,43.26,9.19,65.86,64.41,27.45,50.78,10.15,43.38
NRROS,0.95,6.53,8.88,0.32,0.48,0.11,0.36,0.05,0
XPNPEP2,0,0,0,0,0,0,0,0,0
HMGB1P10,0,0.71,0.49,0.24,0,0.19,0.2,0.19,0
SPIN4,5.07,10.69,10.03,15.36,18.27,10.45,14.95,0.02,4.81
VN1R81P,0,1.01,14.67,0.52,2.03,0,3.02,8.32,3.33
TNF,0,0.21,0,0.16,0.4,0,0.41,0,0
RBP5,0.08,0.26,0.1,0.81,0.25,0.22,0.55,0.51,0.44
MICA,0,0,0,0,0,1.35,0,0,0.2
COQ2,31.1,16.95,23.69,28.57,21.52,21.12,29.55,12.64,27.38
CNNM2,2.21,2.15,4.09,2.44,3.83,4.38,3.53,4.1,4.35
SPATA19,0,0,0,0,0,0,0,0,0
GAA,23.05,31.6,47.88,24.59,24.89,30.69,46.95,30.45,17.53
PCDH20,0.04,0.05,0,0.73,1.28,0.47,1.27,0.04,0.66
PLEKHD1,0.24,0.09,0.1,0.02,0.06,0.09,0.13,0.04,0.29
AL590132.1,0.02,0,0,0,0,0,0,0,0
C2orf27AP1,0,0,0,0,0,0,0,0,0
PYGL,52.59,36.56,21.76,17.66,25.47,81.66,22.19,21.33,59.71
KRTAP9-6,0,0,0,0,0,0,0,0,0
AC010492.1,0,0,0.47,0,0,0,0,0,0
TAX1BP3,202.84,79.17,65.52,82.74,79.62,283.73,95.19,102.24,60.7
EIF3H,349.81,336.28,402.65,394.2,395.01,345.76,400.03,431.8,385.21
SSTR2,0.12,1.56,0.2,0.06,0.08,0.18,0.13,0.21,0.12
HMGN2P7,0,0,0,0,0,0,0,0,0
C6orf47,10.38,7.59,5.3,0,0,0,0,0,0
FBXO25,9.51,10.92,4.11,12.9,21.29,0.47,21.26,6.87,1.61
UBL5P1,0,0,0,0,0,0,0,0,0
AC046134.1,0,0,0,0,0,0,0,0,0
MYNN,19.96,31.66,19.49,13.69,19.22,13.58,18.18,10.51,16.4
TMEM217,3.57,2.84,0.36,1.24,2.18,2.48,2.07,0.86,0.35
WDR82P2,0,0,0,0,0,0,0,0,0
AC013470.2,0.17,0.05,0,0,0.05,0.92,0,0,0.04
BATF2,2.75,0.95,0.36,5.81,1.75,1.21,0.6,0.66,1.19
AMPD3,22.62,3.2,3.49,14.11,10.06,7.15,5.38,1.21,10.73
AP000445.1,0,0,0,0.15,0,0,0.13,0,0.14
BX682237.1,0,0,0,0,0.64,0,0,0,0
TRIM26,0.04,0,0,0,0,0.06,0.39,0,0.13
NAPA,56.85,41.58,40.39,35.06,46.17,56.77,46.07,49,52.35
RPS8P4,0,0.19,0,0,0.19,0,0,0,0
NME5,1.09,6.08,4.41,0.16,0,0,0,8.45,0
HIST1H2AK,0,3.18,0.47,0.47,0.45,1.83,2.31,0.74,0.85
RTBDN,0,0.36,0.3,0,0.12,0,0.29,0.16,0
