SYMBOL,GR response to iNKT,VIP
PTRH2, -0.0064,1.2048
PSAT1, -0.0064,1.1853
MAD2L1, -0.0064,1.1518
NME1, -0.0063,1.213
MCM10, -0.0062,1.1715
TMEM132A, -0.0060,1.2543
CRIP2, -0.0059,1.2488
PIP5KL1, -0.0059,1.2472
IFNG, -0.0058,1.2506
BCL9, -0.0058,1.2504
ICAM5, -0.0058,1.2487
HES7, -0.0058,1.2467
DNM1, -0.0058,1.2436
PCNA, -0.0058,1.1263
PCSK1N, -0.0057,1.2483
ZDHHC11, -0.0057,1.2411
MAST1, -0.0057,1.2383
LZTFL1, -0.0057,1.2381
VAT1, -0.0057,1.2369
PDZD4, -0.0057,1.2363
CTIF, -0.0057,1.2299
MEIS3, -0.0057,1.2153
APLP1, -0.0057,1.1978
STARD5, -0.0056,1.242
MAPRE3, -0.0056,1.2393
C20orf96, -0.0056,1.2106
WHRN, -0.0056,1.0761
FER1L4, -0.0055,1.2328
TMCC2, -0.0055,1.2303
WDR19, -0.0055,1.2294
CCDC183, -0.0055,1.2287
CFAP119, -0.0055,1.2246
IFT43, -0.0055,1.2236
CDH24, -0.0055,1.2057
HSD17B8, -0.0055,1.204
DUSP5, -0.0055,1.1786
SLC43A3, -0.0055,1.1712
CDC6, -0.0055,1.1347
NLGN2, -0.0054,1.2252
CORO6, -0.0054,1.2173
EEF1A2, -0.0054,1.1435
ACOT7, -0.0054,1.1021
EXD3, -0.0053,1.2174
COL1A1, -0.0053,1.2163
CKB, -0.0053,1.2155
TMPRSS3, -0.0053,1.2152
FAM111B, -0.0053,1.2127
SLC12A5, -0.0053,1.211
SOX12, -0.0053,1.2091
AGRN, -0.0053,1.2083
SLC4A11, -0.0053,1.1855
ANKRD13B, -0.0053,1.1435
ZNF768, -0.0052,1.2151
BAIAP3, -0.0052,1.0816
FXYD7, -0.0051,1.1987
ADGRL1, -0.0051,1.1787
PFN2, -0.0051,1.1531
ASF1B, -0.0051,1.0629
TLE2, -0.0050,1.1963
ISYNA1, -0.0050,1.1817
POMT2, -0.0050,1.1072
TEX30, -0.0050,1.0134
YJEFN3, -0.0049,1.1548
SLC6A8, -0.0048,1.1692
RHPN1, -0.0048,1.1627
ANKRD42, -0.0048,1.1558
CXCL16, -0.0048,1.1341
CFD, -0.0048,1.1229
MCM2, -0.0048,0.954
ENKD1, -0.0047,1.1604
METRN, -0.0047,1.0597
IFI30, -0.0047,1.0409
WNT10B, -0.0046,1.0673
TK1, -0.0045,1.1092
EBP, -0.0044,0.8333
NXPH4, -0.0043,1.0915
FBXL16, -0.0042,1.0974
LMTK3, -0.0041,1.0667
CCR1, -0.0041,0.9537
TRIM7, -0.0040,1.0882
KCNAB3, -0.0040,1.0768
EFEMP2, -0.0040,0.9343
