,iNKT_VD1,iNKT_VD2,DysiNKTD1,DysiNKTD2,iNKTD1,iNKTD2
ENSG00000000003,0.105609,0.12757,0.126869,0.155885,0,0
ENSG00000000005,0,0,0,0,0,0
ENSG00000000419,60.91787,61.845124,40.604845,45.007072,74.725928,63.124353
ENSG00000000457,16.47276,17.03261,17.268882,17.015758,13.058382,14.021896
ENSG00000000460,11.679183,17.699927,12.767662,12.635568,28.381609,12.68243
ENSG00000000938,1.141952,0.171181,3.292277,0.471714,1.197373,1.959497
ENSG00000000971,13.642117,28.565287,7.20142,24.051371,9.814845,32.691613
ENSG00000001036,3.236189,6.889991,12.016509,13.40732,20.2556,17.064856
ENSG00000001084,60.888805,74.44967,39.379712,56.261087,36.508321,54.621665
ENSG00000001167,29.610692,25.185731,32.623693,30.0885,25.979556,30.654823
ENSG00000001460,6.054617,5.337744,4.246236,3.463984,3.599155,3.612322
ENSG00000001461,45.737054,47.924054,49.391542,44.190589,25.619429,32.88448
ENSG00000001497,24.842912,28.399841,20.112408,26.932707,28.504709,26.735878
ENSG00000001561,10.527998,6.487523,9.646914,6.493474,11.168704,10.47292
ENSG00000001617,0.412133,0.222267,0.058416,0.154135,0,0
ENSG00000001626,0,0,0,0,0,0
ENSG00000001629,43.069733,51.299996,45.749138,37.556093,23.419004,30.03197
ENSG00000001630,19.26664,19.334009,14.345191,13.902504,60.603836,32.720787
ENSG00000001631,32.055207,40.303864,50.979907,47.146414,34.777172,42.755349
ENSG00000002016,13.44586,11.598423,25.527826,12.898514,7.192204,7.276032
ENSG00000002079,0,0,0,0,0,0
ENSG00000002330,81.214541,64.996512,54.498169,51.618177,71.562068,71.1777
ENSG00000002549,36.286559,51.290031,40.267516,44.119127,109.20018,60.112987
ENSG00000002586,536.004751,518.217138,528.779927,497.987104,518.771307,572.384114
ENSG00000002587,0.053066,0.211865,0.499839,0.896097,0.006521,0.13094
ENSG00000002726,0,0,0,0,0,0
ENSG00000002745,0,0,0,0,0,0.02349
ENSG00000002746,0.029706,0.075555,0.121444,0.172272,0,0.058005
ENSG00000002822,61.350428,61.246611,88.624262,114.656221,93.805216,167.707219
ENSG00000002834,134.915146,153.561161,208.094434,196.171819,212.496805,233.252523
ENSG00000002919,9.253354,9.018793,8.068458,13.349801,19.837203,15.496487
ENSG00000002933,0.075893,0,0,0,0,0
ENSG00000003056,222.338906,268.953615,133.133709,151.048636,194.836528,164.572625
ENSG00000003096,0,0,0.046473,0,0.035643,0.032396
ENSG00000003137,0.036429,0.038019,0.045819,0.040283,0,0
ENSG00000003147,1.767594,4.020442,1.21544,3.044955,0.447812,0.411657
ENSG00000003249,0.376551,0.43267,0.117003,0.041692,0.083495,0
ENSG00000003393,6.782712,9.376646,6.382645,5.815813,5.432303,8.163493
ENSG00000003400,16.622228,25.809104,8.53536,14.194056,23.2098,30.279727
ENSG00000003402,105.371208,144.494128,291.170202,250.39127,120.194438,150.910364
ENSG00000003436,2.220224,3.159009,6.541149,5.41012,2.352958,4.628572
ENSG00000003509,22.042784,20.751214,28.291526,27.276617,13.626215,17.778733
ENSG00000003756,119.885301,129.901845,221.07667,263.211977,72.987065,171.239614
ENSG00000003987,0.019101,0.019936,0.024025,0,0,0
ENSG00000003989,0,0.088288,0.023657,0,0.013889,0
ENSG00000004059,200.961523,185.516874,168.919835,162.594808,176.346747,187.344701
ENSG00000004139,13.289787,11.516858,17.892312,18.756982,9.704568,14.437298
ENSG00000004142,34.120264,39.198392,25.918557,34.068171,56.285423,42.523145
ENSG00000004399,141.127575,98.857948,345.654995,246.971306,18.510801,51.021971
ENSG00000004455,100.217441,86.309968,65.343726,63.451042,124.749097,93.07802
ENSG00000004468,7.50269,29.688672,13.178594,23.714882,51.355817,2.975607
ENSG00000004478,46.685778,47.002542,28.615588,20.557534,25.821503,24.2725
ENSG00000004487,51.886203,54.679971,37.979169,30.054793,30.183194,29.102761
ENSG00000004534,140.337356,140.784384,165.284917,177.637022,58.241558,105.567311
ENSG00000004660,9.963242,5.137585,6.409646,4.131401,0.843946,1.916997
ENSG00000004700,63.601551,86.519277,52.203029,71.412358,125.890094,103.253915
ENSG00000004766,15.842421,14.789077,16.419359,18.775975,13.349315,15.997924
ENSG00000004776,0.171458,0.119506,0,0,0.084532,0.056618
ENSG00000004777,56.652712,55.229511,57.636535,61.05375,23.080088,49.487388
ENSG00000004779,70.177859,94.141179,47.041436,51.626575,147.90195,90.955848
ENSG00000004799,0.036514,0.038139,0.052014,0,0,0
ENSG00000004809,0,0,0,0,0,0
ENSG00000004838,3.759336,3.815856,2.928093,1.258608,0.794824,2.126193
ENSG00000004846,0,0.097809,0.173424,0.128257,0.076443,0.034123
ENSG00000004848,0,0,0,0,0,0
ENSG00000004864,3.239336,9.572004,9.247688,5.155738,6.918712,5.982825
ENSG00000004866,2.703457,5.389361,3.326437,4.081461,8.614897,5.529952
ENSG00000004897,42.053997,51.722268,42.372651,42.284476,75.355779,50.025355
ENSG00000004939,0.019075,0.182923,0.047983,0,0.086258,0
ENSG00000004948,0,0,0,0,0,0
ENSG00000004961,20.522327,24.265439,18.051512,17.581767,29.20123,27.161048
ENSG00000004975,49.440055,37.976812,43.021197,29.033572,33.295128,29.716304
ENSG00000005001,0.389115,1.299166,0.400622,0.14449,0,0
ENSG00000005007,47.238405,44.860416,41.554944,39.527017,39.685897,52.900438
ENSG00000005020,23.424563,19.69857,20.398803,15.812014,13.159248,10.269647
ENSG00000005022,189.137898,252.778554,134.508803,156.060811,447.753808,221.926893
ENSG00000005059,77.215612,83.817971,102.991916,101.220402,62.879886,73.610478
