"","SYMBOL","GR.response.to.iNKT","VIP","iNKT_VD1","iNKT_VD2","DysiNKTD1","DysiNKTD2"
"1","ABCA2","0.0063",1.0902,180.722834,238.438955,652.590048,394.479968
"2","ABLIM1","0.0059",0.9704,60.762895,50.418531,129.599418,73.807816
"3","ACOT7"," -0.0054",1.1021,12.957055,20.066134,6.301236,8.018356
"4","ADGRL1"," -0.0051",1.1787,38.427974,29.124363,12.131667,1.871708
"5","AGRN"," -0.0053",1.2083,21.341764,18.262462,8.164943,3.615919
"6","AK1","0.0063",1.232,48.561153,49.44675,179.579732,146.378655
"7","ANKRD13B"," -0.0053",1.1435,18.826725,28.669613,8.729156,8.052836
"8","ANKRD42"," -0.0048",1.1558,12.714804,10.866457,6.767404,3.058662
"9","APLP1"," -0.0057",1.1978,50.058468,32.387395,1.59721,0.25903
"10","APOBR","0.0038",1.061,3.501936,7.902696,28.374633,65.763588
"11","APOLD1"," -0.0026",0.8974,25.451118,25.861074,23.71919,14.054066
"12","ARMC5","0.0026",0.8902,2.187365,2.876091,3.231901,6.753304
"13","ARSB","0.0048",1.1452,0.743018,2.069139,3.868031,5.472301
"14","ASF1B"," -0.0051",1.0629,13.626405,15.219126,12.484674,12.765079
"15","ASIC3"," -0.0037",1.0458,11.767383,11.709187,9.822034,6.309922
"16","ATF5","0.0056",1.1852,1.705771,4.520443,8.710494,9.144426
"17","ATP6V0A1"," -0.0038",1.0542,25.612225,26.409018,21.284781,13.15881
"18","AUTS2","0.0063",1.2255,51.454442,41.760453,188.60297,149.289582
"19","BAIAP3"," -0.0052",1.0816,29.524659,52.850648,11.317486,14.998341
"20","BCL9"," -0.0058",1.2504,18.48287,18.178147,4.299418,2.683941
"21","BICDL1","0.0062",1.155,80.491412,70.697211,121.713156,101.287026
"22","C1QTNF6","0.0059",0.9489,23.91918,19.942247,50.01842,28.091487
"23","C20orf96"," -0.0056",1.2106,10.103038,13.316008,3.540034,2.826086
"24","C2orf92"," -0.0025",0.88,23.430347,25.610015,22.408581,11.099442
"25","CAMK1","0.0038",1.043,3.414908,4.638548,6.400419,10.489164
"26","CCDC183"," -0.0055",1.2287,41.547136,36.487412,11.793553,4.421805
"27","CCDC65","0.0026",0.8995,5.619747,5.062751,7.411996,17.528975
"28","CCR1"," -0.0041",0.9537,17.141113,26.990645,14.754927,12.828532
"29","CD40LG","0.0033",0.9529,42.786834,61.924561,66.112694,96.923957
"30","CD79B","0.0051",1.1588,6.567867,13.620566,22.543796,28.050108
"31","CDC6"," -0.0055",1.1347,5.329049,6.996012,3.393275,3.84547
"32","CDH24"," -0.0055",1.2057,13.202012,18.080002,3.812292,2.133966
"33","CENPN","0.0045",0.9659,5.52467,9.782589,10.961964,11.694499
"34","CFAP119"," -0.0055",1.2246,14.914745,18.546504,3.845303,1.306136
"35","CFD"," -0.0048",1.1229,18.230438,12.285148,6.682038,1.370281
"36","CKB"," -0.0053",1.2155,22.132825,26.743945,7.157539,1.615421
"37","CLIC3","0.0063",1.2241,18.730359,39.166753,290.385126,217.636251
"38","COL1A1"," -0.0053",1.2163,13.085658,12.956074,4.00442,0.093806
"39","CORO1A","0.0043",1.1151,338.979906,432.462359,694.392697,1037.10522
"40","CORO6"," -0.0054",1.2173,31.099947,37.839493,9.657531,2.280639
"41","CRIP2"," -0.0059",1.2488,55.503684,49.289212,3.215668,0.666961
"42","CSAD","0.0061",1.2515,51.007316,50.844095,69.451061,67.420692
"43","CSF1","0.006",1.2517,11.184724,14.629978,50.286284,48.894813
"44","CTIF"," -0.0057",1.2299,18.333477,14.941791,4.077986,2.406164
"45","CTSW","0.0063",1.1505,35.189994,29.209963,103.899748,69.182402
"46","CXCL16"," -0.0048",1.1341,16.092612,21.868475,10.492268,6.540197
"47","CXCR4","0.0054",0.8655,386.937143,262.763589,679.664789,378.853278
"48","DAPK2","0.006",1.2313,12.51736,24.32639,63.013772,60.601053
"49","DMTN","0.0058",1.2503,2.938182,2.976264,15.375584,16.849546
"50","DNAJA4","0.0058",1.2522,3.163911,3.021496,14.738285,15.735846
"51","DNHD1"," -0.0030",0.8827,36.943352,26.374883,26.745315,12.47172
"52","DNLZ","0.0049",1.1864,5.635636,5.152535,12.347714,16.803837
"53","DNM1"," -0.0058",1.2436,15.990807,13.798224,2.201759,1.094346
"54","DPEP2","0.0053",1.215,11.300071,14.919707,81.999866,112.318033
"55","DUSP5"," -0.0055",1.1786,14.886972,19.215608,8.816717,8.617008
"56","DUSP6","0.0027",0.9134,13.20363,10.751572,14.522115,24.594792
