"","Gene","SYMBOL","ENTREZID","iNKT_VD1","iNKT_VD2","DysiNKTD1","DysiNKTD2"
"1","ENSG00000000003","TSPAN6","7105",0.105609,0.12757,0.126869,0.155885
"3","ENSG00000000419","DPM1","8813",60.91787,61.845124,40.604845,45.007072
"4","ENSG00000000457","SCYL3","57147",16.47276,17.03261,17.268882,17.015758
"5","ENSG00000000460","FIRRM","55732",11.679183,17.699927,12.767662,12.635568
"6","ENSG00000000938","FGR","2268",1.141952,0.171181,3.292277,0.471714
"7","ENSG00000000971","CFH","3075",13.642117,28.565287,7.20142,24.051371
"8","ENSG00000001036","FUCA2","2519",3.236189,6.889991,12.016509,13.40732
"9","ENSG00000001084","GCLC","2729",60.888805,74.44967,39.379712,56.261087
"10","ENSG00000001167","NFYA","4800",29.610692,25.185731,32.623693,30.0885
"11","ENSG00000001460","STPG1","90529",6.054617,5.337744,4.246236,3.463984
"12","ENSG00000001461","NIPAL3","57185",45.737054,47.924054,49.391542,44.190589
"13","ENSG00000001497","LAS1L","81887",24.842912,28.399841,20.112408,26.932707
"14","ENSG00000001561","ENPP4","22875",10.527998,6.487523,9.646914,6.493474
"15","ENSG00000001617","SEMA3F","6405",0.412133,0.222267,0.058416,0.154135
"17","ENSG00000001629","ANKIB1","54467",43.069733,51.299996,45.749138,37.556093
"18","ENSG00000001630","CYP51A1","1595",19.26664,19.334009,14.345191,13.902504
"19","ENSG00000001631","KRIT1","889",32.055207,40.303864,50.979907,47.146414
"20","ENSG00000002016","RAD52","5893",13.44586,11.598423,25.527826,12.898514
"22","ENSG00000002330","BAD","572",81.214541,64.996512,54.498169,51.618177
"23","ENSG00000002549","LAP3","51056",36.286559,51.290031,40.267516,44.119127
"24","ENSG00000002586","CD99","4267",536.004751,518.217138,528.779927,497.987104
"25","ENSG00000002587","HS3ST1","9957",0.053066,0.211865,0.499839,0.896097
"28","ENSG00000002746","HECW1","23072",0.029706,0.075555,0.121444,0.172272
"29","ENSG00000002822","MAD1L1","8379",61.350428,61.246611,88.624262,114.656221
"30","ENSG00000002834","LASP1","3927",134.915146,153.561161,208.094434,196.171819
"31","ENSG00000002919","SNX11","29916",9.253354,9.018793,8.068458,13.349801
"33","ENSG00000003056","M6PR","4074",222.338906,268.953615,133.133709,151.048636
"35","ENSG00000003137","CYP26B1","56603",0.036429,0.038019,0.045819,0.040283
"36","ENSG00000003147","ICA1","3382",1.767594,4.020442,1.21544,3.044955
"37","ENSG00000003249","DBNDD1","79007",0.376551,0.43267,0.117003,0.041692
"38","ENSG00000003393","ALS2","57679",6.782712,9.376646,6.382645,5.815813
"39","ENSG00000003400","CASP10","843",16.622228,25.809104,8.53536,14.194056
"40","ENSG00000003402","CFLAR","8837",105.371208,144.494128,291.170202,250.39127
"41","ENSG00000003436","TFPI","7035",2.220224,3.159009,6.541149,5.41012
"42","ENSG00000003509","NDUFAF7","55471",22.042784,20.751214,28.291526,27.276617
"43","ENSG00000003756","RBM5","10181",119.885301,129.901845,221.07667,263.211977
"44","ENSG00000003987","MTMR7","9108",0.019101,0.019936,0.024025,0
"46","ENSG00000004059","ARF5","381",200.961523,185.516874,168.919835,162.594808
"47","ENSG00000004139","SARM1","23098",13.289787,11.516858,17.892312,18.756982
"48","ENSG00000004142","POLDIP2","26073",34.120264,39.198392,25.918557,34.068171
"49","ENSG00000004399","PLXND1","23129",141.127575,98.857948,345.654995,246.971306
"50","ENSG00000004455","AK2","204",100.217441,86.309968,65.343726,63.451042
"51","ENSG00000004468","CD38","952",7.50269,29.688672,13.178594,23.714882
"52","ENSG00000004478","FKBP4","2288",46.685778,47.002542,28.615588,20.557534
"53","ENSG00000004487","KDM1A","23028",51.886203,54.679971,37.979169,30.054793
"54","ENSG00000004534","RBM6","10180",140.337356,140.784384,165.284917,177.637022
"55","ENSG00000004660","CAMKK1","84254",9.963242,5.137585,6.409646,4.131401
"56","ENSG00000004700","RECQL","5965",63.601551,86.519277,52.203029,71.412358
"57","ENSG00000004766","VPS50","55610",15.842421,14.789077,16.419359,18.775975
"59","ENSG00000004777","ARHGAP33","115703",56.652712,55.229511,57.636535,61.05375
"60","ENSG00000004779","NDUFAB1","4706",70.177859,94.141179,47.041436,51.626575
