"","Gene","SYMBOL","ENTREZID","iNKT_VD1","iNKT_VD2","iNKTD1","iNKTD2"
"3","ENSG00000000419","DPM1","8813",60.91787,61.845124,74.725928,63.124353
"4","ENSG00000000457","SCYL3","57147",16.47276,17.03261,13.058382,14.021896
"5","ENSG00000000460","FIRRM","55732",11.679183,17.699927,28.381609,12.68243
"6","ENSG00000000938","FGR","2268",1.141952,0.171181,1.197373,1.959497
"7","ENSG00000000971","CFH","3075",13.642117,28.565287,9.814845,32.691613
"8","ENSG00000001036","FUCA2","2519",3.236189,6.889991,20.2556,17.064856
"9","ENSG00000001084","GCLC","2729",60.888805,74.44967,36.508321,54.621665
"10","ENSG00000001167","NFYA","4800",29.610692,25.185731,25.979556,30.654823
"11","ENSG00000001460","STPG1","90529",6.054617,5.337744,3.599155,3.612322
"12","ENSG00000001461","NIPAL3","57185",45.737054,47.924054,25.619429,32.88448
"13","ENSG00000001497","LAS1L","81887",24.842912,28.399841,28.504709,26.735878
"14","ENSG00000001561","ENPP4","22875",10.527998,6.487523,11.168704,10.47292
"17","ENSG00000001629","ANKIB1","54467",43.069733,51.299996,23.419004,30.03197
"18","ENSG00000001630","CYP51A1","1595",19.26664,19.334009,60.603836,32.720787
"19","ENSG00000001631","KRIT1","889",32.055207,40.303864,34.777172,42.755349
"20","ENSG00000002016","RAD52","5893",13.44586,11.598423,7.192204,7.276032
"22","ENSG00000002330","BAD","572",81.214541,64.996512,71.562068,71.1777
"23","ENSG00000002549","LAP3","51056",36.286559,51.290031,109.20018,60.112987
"24","ENSG00000002586","CD99","4267",536.004751,518.217138,518.771307,572.384114
"25","ENSG00000002587","HS3ST1","9957",0.053066,0.211865,0.006521,0.13094
"28","ENSG00000002746","HECW1","23072",0.029706,0.075555,0,0.058005
"29","ENSG00000002822","MAD1L1","8379",61.350428,61.246611,93.805216,167.707219
"30","ENSG00000002834","LASP1","3927",134.915146,153.561161,212.496805,233.252523
"31","ENSG00000002919","SNX11","29916",9.253354,9.018793,19.837203,15.496487
"33","ENSG00000003056","M6PR","4074",222.338906,268.953615,194.836528,164.572625
"36","ENSG00000003147","ICA1","3382",1.767594,4.020442,0.447812,0.411657
"37","ENSG00000003249","DBNDD1","79007",0.376551,0.43267,0.083495,0
"38","ENSG00000003393","ALS2","57679",6.782712,9.376646,5.432303,8.163493
"39","ENSG00000003400","CASP10","843",16.622228,25.809104,23.2098,30.279727
"40","ENSG00000003402","CFLAR","8837",105.371208,144.494128,120.194438,150.910364
"41","ENSG00000003436","TFPI","7035",2.220224,3.159009,2.352958,4.628572
"42","ENSG00000003509","NDUFAF7","55471",22.042784,20.751214,13.626215,17.778733
"43","ENSG00000003756","RBM5","10181",119.885301,129.901845,72.987065,171.239614
"46","ENSG00000004059","ARF5","381",200.961523,185.516874,176.346747,187.344701
"47","ENSG00000004139","SARM1","23098",13.289787,11.516858,9.704568,14.437298
"48","ENSG00000004142","POLDIP2","26073",34.120264,39.198392,56.285423,42.523145
"49","ENSG00000004399","PLXND1","23129",141.127575,98.857948,18.510801,51.021971
"50","ENSG00000004455","AK2","204",100.217441,86.309968,124.749097,93.07802
"51","ENSG00000004468","CD38","952",7.50269,29.688672,51.355817,2.975607
"52","ENSG00000004478","FKBP4","2288",46.685778,47.002542,25.821503,24.2725
