"","SYMBOL","Gene","ENTREZID","DysiNKTD1_KKU213C","DysiNKTD2_KKU213C","DysiNKTD2_SSP25","iNKTD2_D131"
"1","ABLIM1","ENSG00000099204",3983,129.599418,73.807816,119.89589,61.530172
"2","ACOT7","ENSG00000097021",11332,6.301236,8.018356,10.165318,12.870004
"3","ACTB","ENSG00000075624",60,1862.987352,3019.85347,1745.87883,1784.492912
"4","AK1","ENSG00000106992",203,179.579732,146.378655,120.825184,100.220572
"5","ASF1B","ENSG00000105011",55723,12.484674,12.765079,10.210084,15.899631
"6","ATG2A","ENSG00000110046",23130,100.377658,70.841258,62.273105,79.087409
"7","ATP8A1","ENSG00000124406",10396,252.171821,89.879911,90.136324,94.030043
"8","AURKB","ENSG00000178999",9212,23.547269,32.746479,23.437603,31.517171
"9","BCL9","ENSG00000116128",607,4.299418,2.683941,9.478519,8.799138
"10","BICDL1","ENSG00000135127",92558,121.713156,101.287026,96.113923,79.262806
"11","C1QTNF6","ENSG00000133466",114904,50.01842,28.091487,44.661143,43.002897
"12","CBX7","ENSG00000100307",23492,106.077461,70.586366,130.315057,113.880323
"13","CCNA2","ENSG00000145386",890,11.687759,19.459546,14.678556,15.342695
"14","CCNE2","ENSG00000175305",9134,8.559563,4.438204,4.950651,11.525592
"15","CD40LG","ENSG00000102245",959,66.112694,96.923957,113.811368,88.800682
"16","CDC45","ENSG00000093009",8318,5.928382,3.834085,2.427791,7.289772
"17","CDC6","ENSG00000094804",990,3.393275,3.84547,3.778654,7.646864
"18","CDCA5","ENSG00000146670",113130,13.016994,13.298298,9.363437,14.554114
"19","CDK1","ENSG00000170312",983,25.108436,29.811798,23.891809,25.544715
"20","CDT1","ENSG00000167513",81620,6.654839,7.73611,8.420541,8.530808
"21","CENPH","ENSG00000153044",64946,7.355556,5.643064,5.121692,11.361424
"22","CENPM","ENSG00000100162",79019,17.277937,22.868634,9.602791,35.86717
"23","CENPN","ENSG00000166451",55839,10.961964,11.694499,8.551066,10.865782
"24","CENPW","ENSG00000203760",387103,3.487372,8.023092,6.054135,6.0368
"25","CEP55","ENSG00000138180",55165,14.513801,22.399903,12.919976,19.845844
"26","CHAC2","ENSG00000143942",494143,0.486059,2.287552,1.198534,2.556483
"27","CHEK1","ENSG00000149554",1111,8.288198,9.556027,9.258746,9.767166
"28","CISH","ENSG00000114737",1154,38.692198,53.423207,73.870762,56.259911
"29","CKS1B","ENSG00000173207",1163,40.657479,47.067072,37.474556,53.567183
"30","CLIC3","ENSG00000169583",9022,290.385126,217.636251,202.815874,61.171184
"31","CLN6","ENSG00000128973",54982,7.486528,8.524646,6.423745,7.567412
"32","CSAD","ENSG00000139631",51380,69.451061,67.420692,111.913975,106.730305
"33","CSF2","ENSG00000164400",1437,4.218736,9.356203,4.896675,50.860334
"34","CX3CR1","ENSG00000168329",1524,13.566329,6.25871,1.484769,2.640703
"35","CXCR4","ENSG00000121966",7852,679.664789,378.853278,467.277009,439.547219
"36","D2HGDH","ENSG00000180902",728294,129.328617,66.599111,93.854232,119.067137
"37","DAPK2","ENSG00000035664",23604,63.013772,60.601053,115.807298,67.90896
