,SYMBOL,Gene,ENTREZID,DysiNKTD1_KKU213C,DysiNKTD2_KKU213C,DysiNKTD2_SSP25,iNKTD2_D131
1,ABLIM1,ENSG00000099204,3983,129.599418,73.807816,119.89589,61.530172
2,ACOT7,ENSG00000097021,11332,6.301236,8.018356,10.165318,12.870004
3,ACRBP,ENSG00000111644,84519,8.97497,7.074548,17.093113,22.695365
4,ACTB,ENSG00000075624,60,1862.987352,3019.85347,1745.87883,1784.492912
5,ACTG1,ENSG00000184009,71,983.289147,1624.653259,843.707376,766.679257
6,AGRN,ENSG00000188157,375790,8.164943,3.615919,24.76126,35.937184
7,AK1,ENSG00000106992,203,179.579732,146.378655,120.825184,100.220572
8,ALYREF,ENSG00000183684,10189,52.011271,64.86344,64.024029,45.57071
9,ANKZF1,ENSG00000163516,55139,180.0147,116.524174,191.452034,317.229729
10,ASF1B,ENSG00000105011,55723,12.484674,12.765079,10.210084,15.899631
11,ATG2A,ENSG00000110046,23130,100.377658,70.841258,62.273105,79.087409
12,ATP6V0A1,ENSG00000033627,535,21.284781,13.15881,37.202426,32.859096
13,ATP8A1,ENSG00000124406,10396,252.171821,89.879911,90.136324,94.030043
14,BAIAP3,ENSG00000007516,8938,11.317486,14.998341,29.359588,89.286593
15,BNIP3,ENSG00000176171,664,8.557429,5.141189,9.89674,44.933044
16,C15orf48,ENSG00000166920,84419,1.742569,0.482125,31.286313,18.79419
17,C19orf33,ENSG00000167644,64073,4.041856,8.005599,45.75913,37.91921
18,C1QTNF6,ENSG00000133466,114904,50.01842,28.091487,44.661143,43.002897
19,C2orf92,ENSG00000228486,728537,22.408581,11.099442,14.203438,39.371094
20,C3,ENSG00000125730,718,1.662671,0.764864,21.18832,26.309544
21,CAMK2N1,ENSG00000162545,55450,13.27707,4.895081,26.381503,23.478887
22,CBX7,ENSG00000100307,23492,106.077461,70.586366,130.315057,113.880323
23,CCL20,ENSG00000115009,6364,7.882888,6.924741,39.909805,32.244487
24,CCNA2,ENSG00000145386,890,11.687759,19.459546,14.678556,15.342695
25,CCND1,ENSG00000110092,595,0.639462,0.299807,10.090503,31.905709
26,CD40LG,ENSG00000102245,959,66.112694,96.923957,113.811368,88.800682
27,CD70,ENSG00000125726,970,67.097094,59.754803,59.548907,43.781942
28,CD74,ENSG00000019582,972,1204.951195,1595.154625,853.070226,626.021117
29,CDCA5,ENSG00000146670,113130,13.016994,13.298298,9.363437,14.554114
30,CDK1,ENSG00000170312,983,25.108436,29.811798,23.891809,25.544715
31,CENPF,ENSG00000117724,1063,20.532787,38.003325,31.587966,12.53886
32,CENPN,ENSG00000166451,55839,10.961964,11.694499,8.551066,10.865782
33,CEP55,ENSG00000138180,55165,14.513801,22.399903,12.919976,19.845844
34,CISH,ENSG00000114737,1154,38.692198,53.423207,73.870762,56.259911
35,CKB,ENSG00000166165,1152,7.157539,1.615421,23.902866,43.29072
36,CLHC1,ENSG00000162994,130162,20.462292,12.710961,12.150303,238.939526
37,CLIC3,ENSG00000169583,9022,290.385126,217.636251,202.815874,61.171184
38,CLN6,ENSG00000128973,54982,7.486528,8.524646,6.423745,7.567412
