,DysiNKTD1_KKU213C,DysiNKTD2_KKU213C,DysiNKTD2_SSP25,iNKTD2_D131,iNKTD1,iNKTD2
ENSG00000000003,0.126869,0.155885,1.499036,1.43159,0,0
ENSG00000000005,0,0,0,0,0,0
ENSG00000000419,40.604845,45.007072,42.219143,51.652027,74.725928,63.124353
ENSG00000000457,17.268882,17.015758,14.04661,17.745094,13.058382,14.021896
ENSG00000000460,12.767662,12.635568,7.872787,12.224689,28.381609,12.68243
ENSG00000000938,3.292277,0.471714,0.919086,0.834577,1.197373,1.959497
ENSG00000000971,7.20142,24.051371,26.033612,29.619862,9.814845,32.691613
ENSG00000001036,12.016509,13.40732,6.807814,10.845251,20.2556,17.064856
ENSG00000001084,39.379712,56.261087,51.513408,62.010408,36.508321,54.621665
ENSG00000001167,32.623693,30.0885,31.353426,31.556381,25.979556,30.654823
ENSG00000001460,4.246236,3.463984,3.821758,4.971436,3.599155,3.612322
ENSG00000001461,49.391542,44.190589,46.027322,38.571633,25.619429,32.88448
ENSG00000001497,20.112408,26.932707,17.973342,20.222222,28.504709,26.735878
ENSG00000001561,9.646914,6.493474,7.296809,7.156246,11.168704,10.47292
ENSG00000001617,0.058416,0.154135,0.305962,0.235049,0,0
ENSG00000001626,0,0,0,0.08996,0,0
ENSG00000001629,45.749138,37.556093,51.147876,44.72257,23.419004,30.03197
ENSG00000001630,14.345191,13.902504,11.295647,14.055551,60.603836,32.720787
ENSG00000001631,50.979907,47.146414,58.261196,45.458475,34.777172,42.755349
ENSG00000002016,25.527826,12.898514,18.438997,23.883538,7.192204,7.276032
ENSG00000002079,0,0,0.079565,0,0,0
ENSG00000002330,54.498169,51.618177,56.587735,46.872294,71.562068,71.1777
ENSG00000002549,40.267516,44.119127,65.275264,28.259405,109.20018,60.112987
ENSG00000002586,528.779927,497.987104,487.694701,451.032155,518.771307,572.384114
ENSG00000002587,0.499839,0.896097,5.741977,0.522434,0.006521,0.13094
ENSG00000002726,0,0,0,0,0,0
ENSG00000002745,0,0,0,0.193137,0,0.02349
ENSG00000002746,0.121444,0.172272,0.19105,0.264511,0,0.058005
ENSG00000002822,88.624262,114.656221,77.616661,82.884578,93.805216,167.707219
ENSG00000002834,208.094434,196.171819,198.878062,166.287037,212.496805,233.252523
ENSG00000002919,8.068458,13.349801,12.547237,10.906981,19.837203,15.496487
ENSG00000002933,0,0,0.409539,0,0,0
ENSG00000003056,133.133709,151.048636,155.028501,154.483025,194.836528,164.572625
ENSG00000003096,0.046473,0,0.070976,0.184132,0.035643,0.032396
ENSG00000003137,0.045819,0.040283,0.019665,0.515819,0,0
ENSG00000003147,1.21544,3.044955,3.144354,5.627215,0.447812,0.411657
ENSG00000003249,0.117003,0.041692,0.940196,1.181556,0.083495,0
ENSG00000003393,6.382645,5.815813,10.629273,6.672555,5.432303,8.163493
ENSG00000003400,8.53536,14.194056,25.851933,19.442504,23.2098,30.279727
ENSG00000003402,291.170202,250.39127,220.351193,190.40097,120.194438,150.910364
ENSG00000003436,6.541149,5.41012,13.431786,9.88924,2.352958,4.628572
ENSG00000003509,28.291526,27.276617,29.76151,21.345132,13.626215,17.778733
ENSG00000003756,221.07667,263.211977,260.390556,224.790035,72.987065,171.239614
ENSG00000003987,0.024025,0,0,0.077297,0,0
ENSG00000003989,0.023657,0,0,1.353738,0.013889,0
ENSG00000004059,168.919835,162.594808,183.856564,168.336336,176.346747,187.344701
ENSG00000004139,17.892312,18.756982,12.914712,19.084507,9.704568,14.437298
ENSG00000004142,25.918557,34.068171,27.803819,29.551928,56.285423,42.523145
ENSG00000004399,345.654995,246.971306,142.101265,200.771241,18.510801,51.021971
ENSG00000004455,65.343726,63.451042,73.133676,84.892238,124.749097,93.07802
ENSG00000004468,13.178594,23.714882,29.443395,10.197861,51.355817,2.975607
ENSG00000004478,28.615588,20.557534,50.88562,34.802433,25.821503,24.2725
ENSG00000004487,37.979169,30.054793,49.783889,43.510089,30.183194,29.102761
ENSG00000004534,165.284917,177.637022,236.330602,193.471091,58.241558,105.567311
