"","SYMBOL","KKU055","KKU055_V1","KKU055_V2"
"1","AGAP2",1.238947,9.424619,10.826873
"2","ANKRD1",2.572454,23.153027,24.613682
"3","BEX5",5.772408,33.193952,37.895935
"4","BST2",2.366219,50.069316,43.030878
"5","CDKN1A",0.800533,12.689796,14.958871
"6","CKB",22.00466,133.124605,115.917402
"7","COL1A1",0.989005,21.759726,11.676869
"8","CORO1A",3.696245,26.081488,23.568973
"9","CRABP2",21.486802,113.011068,101.352885
"10","CRLF1",0.791992,15.11435,14.019543
"11","EEF1A2",1.215068,70.783178,70.354627
"12","EFNA3",1.018741,10.089955,10.348455
"13","EGFL7",2.220282,16.030563,13.965858
"14","EHBP1L1",2.942809,31.930922,20.336814
"15","FBXO2",1.646199,36.969769,34.435826
"16","FKBP1B",2.598522,16.866713,14.164886
"17","FSCN1",12.213896,80.128016,79.153234
"18","FXYD1",0.285221,19.759721,17.92761
"19","GAMT",1.7391,17.18071,16.56532
"20","GMPR",2.557143,15.163925,15.12369
"21","GTF2IRD2",18.250657,4.305526,4.039575
"22","GTF2IRD2B",12.868152,1.577428,2.298459
"23","IL18",3.009599,15.981613,18.01113
"24","ITM2A",5.228735,32.654522,40.886754
"25","L1CAM",2.690645,24.672976,25.047536
"26","MARCHF9",4.40778,24.328328,23.489674
"27","MEIS3",1.227867,14.706657,19.427912
"28","METRN",7.908686,56.780181,44.93864
"29","MT1A",53.96529,335.663896,281.096033
"30","NDRG4",2.617393,20.691329,20.111459
"31","NIPAL2",45.93969,438.730432,250.785277
"32","NRGN",9.357092,65.571226,66.352453
"33","PCOLCE",1.047208,13.430777,13.180591
"34","PMEL",0.435617,10.819634,10.668074
"35","RAB26",1.22959,11.90846,10.308995
"36","RTBDN",0.700464,36.083728,39.176428
"37","RTN2",2.809742,17.15876,17.640352
"38","RTN4RL2",0.483084,15.828099,13.874377
"39","SCIN",2.310352,17.05185,16.050211
"40","SFXN3",4.389886,22.684123,21.307492
"41","SH2D5",1.404351,12.084002,9.410188
"42","SLC16A3",2.143229,20.527836,18.015259
"43","SLC29A4",3.751764,20.8037,19.732365
"44","SMIM1",1.827306,10.563507,10.557179
"45","SPINT2",0.868438,11.372228,13.246731
"46","SPP1",2.042967,12.552116,13.07181
"47","SYNGR1",1.500565,13.025412,8.754843
"48","SYP",1.291474,11.439138,10.691877
"49","TAGLN",106.711071,21.17933,21.135138
"50","TESC",1.778064,15.10101,13.95354
"51","TMC6",1.753368,22.985211,22.329444
"52","TMEM54",4.138991,20.834292,24.438735
"53","TNNT1",1.287533,29.562456,25.973195
"54","TSPAN15",1.92567,12.515036,12.193922
"55","VGF",2.940767,22.035327,23.388953
"56","WFDC2",3.657146,30.772503,33.317067
