logFC	AveExpr	t	P.Value	adj.P.Val	B	SYMBOL
5.301037951	4.434387337	16.81030897	2.68495107556024e-14	2.63812895287309e-11	20.43145027	EEF1A2
4.915629861	3.663182964	15.03028559	2.78201698769522e-13	1.38839012491801e-10	18.6711002	RTBDN
4.549938603	2.806042149	14.08773428	1.05474942462959e-12	4.26118767550353e-10	17.59413491	FXYD1
4.004034413	3.892896898	12.58320139	1.03411315626626e-11	2.33615151156824e-09	15.82701979	FBXO2
3.962240469	4.281974246	12.08206705	2.31775689421818e-11	4.07968956149234e-09	15.17602283	BST2
3.909346253	3.565645861	12.0596538	2.40434321162915e-11	4.07968956149234e-09	15.12195281	TNNT1
3.891394346	2.690905123	11.90073134	3.12300402759801e-11	4.73135110181098e-09	14.86088871	RTN4RL2
3.515180369	2.369556735	10.70704826	2.42502247262243e-10	2.42045772443867e-08	13.10522975	PMEL
3.471610347	2.805646068	10.71226938	2.40255829207717e-10	2.42045772443867e-08	13.14928123	CRLF1
3.400578486	2.959800055	7.62498899	1.05944113540007e-07	2.74033493680921e-06	7.767433221	COL1A1
3.38298263	2.757810908	9.99021756	8.96845711993449e-10	6.79360626835037e-08	12.01292107	CDKN1A
3.289526046	3.487067909	10.28914142	5.16015143014805e-10	4.42209340741172e-08	12.52017083	TMC6
3.25850109	3.084986088	8.98076663	6.29019210256732e-09	3.06701090794145e-07	10.31463844	MEIS3
3.148845949	2.675227289	9.335087367	3.1289029921171e-09	1.8058240125933e-07	10.91223786	SPINT2
3.085668599	2.80884865	9.503255451	2.25880684427484e-09	1.37918485657123e-07	11.20498971	PCOLCE
2.918636007	3.741793515	9.418146641	2.66259135751163e-09	1.5687100748006e-07	11.14497869	L1CAM
2.915452659	3.685454102	9.136506688	4.6185097161433e-09	2.41467963888549e-07	10.62690898	ANKRD1
2.895185761	4.108237385	10.38407711	4.33897758213446e-10	3.95826729105686e-08	12.96603336	WFDC2
2.884044374	3.207545048	8.957776955	6.58541958998403e-09	3.13880335963059e-07	10.27376808	GAMT
2.848145128	3.802187798	7.448476088	1.55800016415914e-07	3.64448352365576e-06	7.469503213	EHBP1L1
2.829364337	3.409929682	8.695082867	1.11767367550411e-08	4.71758381242628e-07	9.806549386	SLC16A3
2.76909602	7.503973098	12.04682227	2.45541798669212e-11	4.08466003903842e-09	15.99720192	NIPAL2
2.746805128	2.556511473	8.320462942	2.4139867768307e-08	8.53344325609652e-07	9.083276462	EFNA3
2.68128617	5.21087907	15.21679518	2.15464159466388e-13	1.17449093205195e-10	20.54869133	NRGN
2.681148795	3.692578239	8.84263376	8.29464675845215e-09	3.70377805782674e-07	10.16575936	VGF
2.673397027	3.544577749	8.537432331	1.54194026447872e-08	6.08456800178485e-07	9.548453403	NDRG4
2.673028072	2.693486353	8.071460607	4.069025188787e-08	1.26452782789996e-06	8.619541209	RAB26
2.649538018	3.075781034	8.171541652	3.29548738572463e-08	1.0836788752127e-06	8.824395154	TESC
2.619416509	4.387687955	9.845857781	1.17576953274456e-09	8.45358365746175e-08	12.20817161	ITM2A
2.618658011	2.708590101	7.984512757	4.89233473246904e-08	1.47710205944012e-06	8.453128007	SYP
2.584320513	5.513273651	16.77726459	2.79858092596155e-14	2.63812895287309e-11	22.61103074	FSCN1
2.534398678	2.611173242	7.511048467	1.35827376664516e-07	3.32092064444308e-06	7.522071711	AGAP2
2.530961736	4.880102862	11.95144635	2.87215076748549e-11	4.51246798358276e-09	15.8598165	METRN
2.529034496	3.298565353	7.84366546	6.60817595482405e-08	1.87504230102767e-06	8.198364895	SCIN
2.520530145	3.871055957	9.196796655	4.10136519711125e-09	2.20227736280328e-07	10.91122183	CORO1A
2.482973032	2.704782352	7.27413083	2.2896297357342e-07	4.90535825201237e-06	7.048401899	SH2D5
2.446777992	4.402978382	10.37090455	4.4443116012041e-10	4.01122761963995e-08	13.15618135	BEX5
2.436494169	3.189338827	7.441823183	1.58094061180435e-07	3.66467217228091e-06	7.399951656	EGFL7
2.426941518	7.506795234	22.42083506	5.59461324335761e-17	1.64639468988545e-13	28.95369373	MT1A
2.416375864	2.730277658	6.63720935	9.66509022672343e-07	1.57689664391388e-05	5.724977793	SYNGR1
2.399577953	6.213324324	18.43937517	3.77847054571871e-15	5.34275735164626e-12	24.71649912	CKB
2.362884536	3.424259253	7.67604622	9.48343489089173e-08	2.49867893212191e-06	7.911259689	RTN2
2.333994174	2.956390995	7.164598742	2.92211953551698e-07	6.06143328589878e-06	6.830868524	TSPAN15
2.31535775	3.012627367	7.07763386	3.55051576911931e-07	7.02157943711148e-06	6.653186668	SPP1
2.294347125	3.282247765	7.075589356	3.56685418629446e-07	7.03748625965632e-06	6.666322609	FKBP1B
2.28343648	3.256612512	7.161698116	2.94111891283649e-07	6.08596411134263e-06	6.840335043	GMPR
2.242461502	3.91198125	8.871274493	7.83070094986648e-09	3.62738205265411e-07	10.36606184	MARCHF9
2.242373724	3.429009705	7.278626227	2.2668993231634e-07	4.87851355074263e-06	7.119305123	IL18
2.240826514	3.830615358	8.112340521	3.73264366044333e-08	1.19051687275192e-06	8.878846042	TMEM54
2.218884032	6.059404797	17.30859608	1.44914149364463e-14	1.7563594902973e-11	23.41146058	CRABP2
2.216302371	3.687434338	8.152154731	3.43251703258678e-08	1.12005671171024e-06	8.935175761	SLC29A4
2.176636108	2.791975185	6.619181566	1.00747695104167e-06	1.62333721693216e-05	5.686294633	SMIM1
2.129734036	3.831411451	8.377052175	2.14635347061088e-08	7.84899260545806e-07	9.412832094	SFXN3
