"","Gene","SYMBOL","ENTREZID","KKU055","KKU055_V1","KKU055_V2"
"1","ENSG00000000003","TSPAN6","7105",35.726462,27.658337,27.211071
"3","ENSG00000000419","DPM1","8813",176.932293,218.8537,213.998174
"4","ENSG00000000457","SCYL3","57147",3.157711,5.19703,3.182533
"5","ENSG00000000460","FIRRM","55732",24.710145,22.32744,22.796374
"6","ENSG00000000938","FGR","2268",0,0.160756,0.206218
"7","ENSG00000000971","CFH","3075",44.666762,60.58092,61.455162
"8","ENSG00000001036","FUCA2","2519",31.835502,27.378935,28.807049
"9","ENSG00000001084","GCLC","2729",46.192134,34.58717,39.361443
"10","ENSG00000001167","NFYA","4800",48.583808,38.368415,36.72665
"11","ENSG00000001460","STPG1","90529",4.618152,11.463829,9.648687
"12","ENSG00000001461","NIPAL3","57185",2.848127,7.249137,7.189334
"13","ENSG00000001497","LAS1L","81887",69.876199,66.39854,63.103861
"14","ENSG00000001561","ENPP4","22875",4.624291,6.123592,5.854053
"15","ENSG00000001617","SEMA3F","6405",0.447465,5.193673,4.614486
"16","ENSG00000001626","CFTR","1080",15.7105,24.997754,22.415461
"17","ENSG00000001629","ANKIB1","54467",24.311398,32.274395,35.925153
"18","ENSG00000001630","CYP51A1","1595",76.220305,63.76878,67.949911
"19","ENSG00000001631","KRIT1","889",26.295119,19.386428,17.321709
"20","ENSG00000002016","RAD52","5893",10.189538,12.894253,10.592367
"22","ENSG00000002330","BAD","572",79.963844,108.312373,96.890227
"23","ENSG00000002549","LAP3","51056",102.309024,89.065369,88.700053
"24","ENSG00000002586","CD99","4267",129.79384,158.738118,154.613184
"25","ENSG00000002587","HS3ST1","9957",0.025982,0.138911,0.062745
"26","ENSG00000002726","AOC1","26",0.03059,0.091947,0.06781
"28","ENSG00000002746","HECW1","23072",3.383424,2.443797,4.281556
"29","ENSG00000002822","MAD1L1","8379",19.444976,13.131191,13.56103
"30","ENSG00000002834","LASP1","3927",63.329408,61.865299,64.489289
"31","ENSG00000002919","SNX11","29916",40.898402,62.253328,56.679105
"32","ENSG00000002933","TMEM176A","55365",0.233599,0.369062,0.603063
"33","ENSG00000003056","M6PR","4074",126.368319,137.551361,130.445745
"34","ENSG00000003096","KLHL13","90293",211.013679,228.722792,229.183687
"35","ENSG00000003137","CYP26B1","56603",0.853479,2.755052,2.283285
"36","ENSG00000003147","ICA1","3382",13.26773,5.675858,10.062452
"37","ENSG00000003249","DBNDD1","79007",14.56729,22.807875,23.239296
"38","ENSG00000003393","ALS2","57679",13.172394,18.116629,16.539505
"39","ENSG00000003400","CASP10","843",2.204134,7.32665,8.545474
"40","ENSG00000003402","CFLAR","8837",36.976029,38.450242,39.016422
"41","ENSG00000003436","TFPI","7035",3.138917,4.193036,6.009079
"42","ENSG00000003509","NDUFAF7","55471",15.908618,12.784095,17.458622
"43","ENSG00000003756","RBM5","10181",64.327657,65.401093,53.381517
"44","ENSG00000003987","MTMR7","9108",0,0.21003,0.015065
"45","ENSG00000003989","SLC7A2","6542",15.476846,22.10638,24.942775
"46","ENSG00000004059","ARF5","381",196.834248,178.377285,184.432869
"47","ENSG00000004139","SARM1","23098",0.175555,0.733376,0.816973
"48","ENSG00000004142","POLDIP2","26073",76.322886,68.088813,62.706411
"49","ENSG00000004399","PLXND1","23129",2.540362,10.641259,10.975105
"50","ENSG00000004455","AK2","204",230.815192,223.881764,224.784423
"51","ENSG00000004468","CD38","952",3.869575,5.64632,5.003554
"52","ENSG00000004478","FKBP4","2288",93.088999,91.704914,92.927275
"53","ENSG00000004487","KDM1A","23028",135.522305,138.536803,141.80742
"54","ENSG00000004534","RBM6","10180",74.084824,77.253746,69.118016
"55","ENSG00000004660","CAMKK1","84254",2.30967,2.179214,2.209691
