logFC	AveExpr	t	P.Value	adj.P.Val	B	SYMBOL
3.666299016	2.87959905	15.03868651	7.42164383472348e-05	0.003659906	1.530163191	ADGRL1
3.062847562	4.581164569	12.5803076	0.000156628	0.003882297	1.482373823	EEF1A2
2.854627494	3.420007171	12.85051666	0.00014334	0.003830376	1.230780061	IFI6
2.68632073	3.619278428	13.12920982	0.000131057	0.003790754	1.283389772	TUBA1A
2.35249909	4.260121118	13.77997315	0.000107057	0.003790754	1.798581561	ASMTL
2.158499939	5.409089727	22.74120681	1.29671612341093e-05	0.003339593	3.893421278	IL24
2.117531263	6.891351482	23.99342868	1.03331985794496e-05	0.003339593	4.4944063	SCNN1A
2.091225256	4.910562398	11.03587225	0.000269974	0.004340391	1.346737641	FYN
2.079191588	3.875586901	12.09782442	0.000184343	0.003914052	1.323904543	NRGN
2.038790292	3.842167604	11.64510057	0.000216027	0.003989424	1.213983444	HMGN5
-2.016474689	4.67731168	-18.02828892	3.46050076990471e-05	0.003384696	3.320237809	LRFN4
-2.089759349	2.183980876	-12.25557026	0.000174663	0.003914052	1.374964047	PCSK9
-2.108530274	3.871080115	-17.01672801	4.41404386066962e-05	0.003469819	2.894737237	DUS3L
-2.142561482	6.226867654	-29.7011946	4.17873179060326e-06	0.003339593	5.350301815	SERPINH1
-2.147106991	4.08724656	-21.61489724	1.60778002929095e-05	0.003339593	3.689991138	FSTL1
-2.191521124	4.578600019	-23.37846107	1.15348171300081e-05	0.003339593	4.148741944	UNG
-2.270234799	5.887457932	-23.07155725	1.21988718649234e-05	0.003339593	4.391289157	TYMS
-2.289534643	3.121158067	-15.97437388	5.75927540529664e-05	0.003517786	2.322770487	TERT
-3.28808931	2.581601912	-15.65824587	6.26411206923703e-05	0.003517786	2.175282661	IGKV1OR-2
