"","Gene","SYMBOL","ENTREZID","KKU213c","KKU213c_V1","KKU213c_V2"
"1","ENSG00000000003","TSPAN6","7105",25.692046,24.117077,25.915665
"3","ENSG00000000419","DPM1","8813",116.237013,130.349272,144.57158
"4","ENSG00000000457","SCYL3","57147",2.94494,3.360926,4.084084
"5","ENSG00000000460","FIRRM","55732",16.935736,9.296399,8.905735
"7","ENSG00000000971","CFH","3075",14.777901,22.774609,21.942917
"8","ENSG00000001036","FUCA2","2519",81.499925,46.308218,49.861801
"9","ENSG00000001084","GCLC","2729",47.828155,54.436204,67.287013
"10","ENSG00000001167","NFYA","4800",16.083419,18.214278,19.383787
"11","ENSG00000001460","STPG1","90529",14.582328,16.335953,14.382565
"12","ENSG00000001461","NIPAL3","57185",33.620915,43.533883,48.787074
"13","ENSG00000001497","LAS1L","81887",75.533623,65.651052,67.822511
"14","ENSG00000001561","ENPP4","22875",8.425363,12.783416,13.872238
"15","ENSG00000001617","SEMA3F","6405",5.253803,10.089709,14.078368
"16","ENSG00000001626","CFTR","1080",0.026765,0.281776,0.016593
"17","ENSG00000001629","ANKIB1","54467",25.87281,21.564334,23.274868
"18","ENSG00000001630","CYP51A1","1595",117.590593,87.156194,82.969394
"19","ENSG00000001631","KRIT1","889",32.682392,20.810034,21.736236
"20","ENSG00000002016","RAD52","5893",16.308632,13.894216,14.640271
"21","ENSG00000002079","MYH16","84176",0.437116,0.638357,0.463356
"22","ENSG00000002330","BAD","572",166.877297,169.680811,170.862735
"23","ENSG00000002549","LAP3","51056",88.003416,67.808047,76.312699
"24","ENSG00000002586","CD99","4267",179.414497,165.742071,182.221981
"25","ENSG00000002587","HS3ST1","9957",42.856508,32.576641,21.78515
"26","ENSG00000002726","AOC1","26",0,0.574466,0.427275
"27","ENSG00000002745","WNT16","51384",0.042025,0.095345,0.101086
"28","ENSG00000002746","HECW1","23072",1.092446,0.953663,2.182844
"29","ENSG00000002822","MAD1L1","8379",49.18235,24.826831,31.00327
"30","ENSG00000002834","LASP1","3927",170.906134,169.129301,182.644564
"31","ENSG00000002919","SNX11","29916",14.11771,11.767057,13.223117
"32","ENSG00000002933","TMEM176A","55365",0.060143,0.463793,0.193221
"33","ENSG00000003056","M6PR","4074",229.152557,228.812152,240.902584
"35","ENSG00000003137","CYP26B1","56603",7.987766,5.185197,5.180717
"36","ENSG00000003147","ICA1","3382",4.384333,10.002845,7.066917
"37","ENSG00000003249","DBNDD1","79007",2.311835,2.837914,4.250784
"38","ENSG00000003393","ALS2","57679",11.563263,18.316807,19.159165
"39","ENSG00000003400","CASP10","843",4.005524,5.663411,6.366178
"40","ENSG00000003402","CFLAR","8837",33.072694,15.636512,18.189102
"41","ENSG00000003436","TFPI","7035",6.280463,6.161387,6.83878
"42","ENSG00000003509","NDUFAF7","55471",12.30996,12.88768,15.154815
"43","ENSG00000003756","RBM5","10181",54.395936,38.173778,33.221169
"44","ENSG00000003987","MTMR7","9108",0.641422,0.745625,1.020312
"45","ENSG00000003989","SLC7A2","6542",4.014622,2.311147,2.41599
"46","ENSG00000004059","ARF5","381",263.542596,234.658726,247.142486
"47","ENSG00000004139","SARM1","23098",3.660661,5.351771,6.950444
"48","ENSG00000004142","POLDIP2","26073",109.835299,87.754793,98.66725
"49","ENSG00000004399","PLXND1","23129",0.053386,0.51743,0.057042
"50","ENSG00000004455","AK2","204",197.689069,141.456833,153.555368
"51","ENSG00000004468","CD38","952",0.011239,0.081728,0.097385
"52","ENSG00000004478","FKBP4","2288",195.61706,181.712738,193.553928
"53","ENSG00000004487","KDM1A","23028",36.008961,47.985835,51.332057
"54","ENSG00000004534","RBM6","10180",38.953882,21.169786,24.905256
"55","ENSG00000004660","CAMKK1","84254",2.975211,3.188647,3.394586
"56","ENSG00000004700","RECQL","5965",77.199045,67.512067,71.833
"57","ENSG00000004766","VPS50","55610",13.932565,15.097508,17.119132
"58","ENSG00000004776","HSPB6","126393",0.151172,0.152515,0.161821
"59","ENSG00000004777","ARHGAP33","115703",2.275751,1.761715,1.651544
"60","ENSG00000004779","NDUFAB1","4706",234.722,202.992415,223.825444
"61","ENSG00000004799","PDK4","5166",0.388732,0.982749,1.438058
"63","ENSG00000004838","ZMYND10","51364",0,0.274021,0.912089
"64","ENSG00000004846","ABCB5","340273",0,0.016558,0.058023
"65","ENSG00000004848","ARX","170302",0.04636,0.070121,0.092935
"66","ENSG00000004864","SLC25A13","10165",33.704995,26.556206,28.524792
"68","ENSG00000004897","CDC27","996",49.626303,55.653683,56.619655
"71","ENSG00000004961","HCCS","3052",84.079309,75.019359,89.388952
"72","ENSG00000004975","DVL2","1856",14.681884,16.856881,18.591828
"74","ENSG00000005007","UPF1","5976",52.438049,34.663866,39.075963
"75","ENSG00000005020","SKAP2","8935",27.638963,53.209922,51.809752
"76","ENSG00000005022","SLC25A5","292",942.320415,627.474466,680.406669
"77","ENSG00000005059","MCUB","55013",8.31244,8.331493,7.91912
"79","ENSG00000005075","POLR2J","5439",86.273371,90.067153,102.179259
"80","ENSG00000005100","DHX33","56919",26.218408,17.325064,19.494415
"82","ENSG00000005108","THSD7A","221981",0.017681,0.091139,0.037779
"83","ENSG00000005156","LIG3","3980",25.009605,18.534992,17.700117
"84","ENSG00000005175","RPAP3","79657",37.861301,27.226142,22.423914
"85","ENSG00000005187","ACSM3","6296",0.139213,0.224327,0.309633
"86","ENSG00000005189","REXO5","81691",9.249441,7.649469,9.130952
"87","ENSG00000005194","CIAPIN1","57019",52.089885,42.190142,43.464406
"88","ENSG00000005206","SPPL2B","56928",30.836834,28.846872,31.401693
"89","ENSG00000005238","ATOSB","80256",4.133831,12.224512,13.03394
"90","ENSG00000005243","COPZ2","51226",5.459093,4.400724,5.932223
"91","ENSG00000005249","PRKAR2B","5577",0,0.052689,0.321179
"92","ENSG00000005302","MSL3","10943",18.771171,16.810258,17.922099
"93","ENSG00000005339","CREBBP","1387",17.248908,8.174297,8.110083
"95","ENSG00000005381","MPO","4353",0.123187,0.046579,0
"97","ENSG00000005436","GCFC2","6936",16.618635,16.696151,22.555334
"98","ENSG00000005448","WDR54","84058",36.532461,55.340751,57.984353
"99","ENSG00000005469","CROT","54677",6.60432,9.95478,14.504367
"100","ENSG00000005471","ABCB4","5244",0,0.040044,0.014151
"101","ENSG00000005483","KMT2E","55904",15.630539,19.066987,21.313424
"102","ENSG00000005486","RHBDD2","57414",15.694949,13.375948,12.911571
"104","ENSG00000005700","IBTK","25998",22.7774,22.967041,24.608838
"105","ENSG00000005801","ZNF195","7748",35.955349,28.833964,34.534478
"106","ENSG00000005810","MYCBP2","23077",49.769153,44.8627,44.013841
"107","ENSG00000005812","FBXL3","26224",28.384742,11.736858,13.084182
"108","ENSG00000005844","ITGAL","3683",0.357628,0.941425,0.319981
"109","ENSG00000005882","PDK2","5164",1.987654,7.592915,6.045309
"110","ENSG00000005884","ITGA3","3675",512.203687,335.858686,335.974942
"111","ENSG00000005889","ZFX","7543",14.070676,9.862517,13.406607
"112","ENSG00000005893","LAMP2","3920",132.836229,140.757636,151.890675
"113","ENSG00000005961","ITGA2B","3674",0.285786,0.275549,0
"114","ENSG00000005981","ASB4","51666",0.01703,0.012878,0
"115","ENSG00000006007","GDE1","51573",53.980461,79.176947,95.970449
"116","ENSG00000006015","REX1BD","55049",36.828198,33.581403,30.821835
"117","ENSG00000006016","CRLF1","9244",0.367821,0,0.299317
"118","ENSG00000006025","OSBPL7","114881",7.947777,6.680912,7.405792
"119","ENSG00000006042","TMEM98","26022",23.146593,21.35343,24.132519
