,KKKD068,KKKD068_V1,KKKD068_V2,KKU055,KKU055_V1,KKU055_V2,KKU213c,KKU213c_V1,KKU213c_V2,RBE,RBE_V1,RBE_V2
ENSG00000000003,22.957628,24.439029,24.133361,35.726462,27.658337,27.211071,25.692046,24.117077,25.915665,18.288089,20.997623,19.577054
ENSG00000000005,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,85.101678,104.454612,109.029624,176.932293,218.8537,213.998174,116.237013,130.349272,144.57158,73.422048,94.685852,119.745987
ENSG00000000457,3.249617,3.921761,4.43532,3.157711,5.19703,3.182533,2.94494,3.360926,4.084084,5.739123,5.109376,4.643303
ENSG00000000460,16.441819,19.665848,15.235272,24.710145,22.32744,22.796374,16.935736,9.296399,8.905735,16.489046,8.323573,6.921777
ENSG00000000938,0,0,0,0,0.160756,0.206218,0,0,0.11396,0,0,0
ENSG00000000971,25.061873,21.854712,21.235288,44.666762,60.58092,61.455162,14.777901,22.774609,21.942917,26.825611,39.185526,38.373253
ENSG00000001036,154.499474,117.455254,109.361274,31.835502,27.378935,28.807049,81.499925,46.308218,49.861801,62.180142,43.131815,37.919572
ENSG00000001084,121.249733,75.055317,88.086178,46.192134,34.58717,39.361443,47.828155,54.436204,67.287013,56.887558,54.489034,77.147934
ENSG00000001167,15.518575,13.274917,14.989418,48.583808,38.368415,36.72665,16.083419,18.214278,19.383787,18.579279,16.988009,16.487207
ENSG00000001460,6.254489,9.651159,7.050854,4.618152,11.463829,9.648687,14.582328,16.335953,14.382565,4.611359,6.810652,6.444346
ENSG00000001461,9.931149,13.984077,15.54972,2.848127,7.249137,7.189334,33.620915,43.533883,48.787074,7.941638,11.697732,15.728798
ENSG00000001497,46.01092,33.533209,39.900294,69.876199,66.39854,63.103861,75.533623,65.651052,67.822511,32.967563,25.589875,22.135555
ENSG00000001561,13.737365,25.498491,25.155385,4.624291,6.123592,5.854053,8.425363,12.783416,13.872238,6.318973,10.89722,13.35402
ENSG00000001617,15.449796,12.18255,20.149953,0.447465,5.193673,4.614486,5.253803,10.089709,14.078368,0.703043,0.71777,0.841397
ENSG00000001626,0.558279,1.210515,0.555736,15.7105,24.997754,22.415461,0.026765,0.281776,0.016593,0.372823,0.020349,0.101225
ENSG00000001629,43.443661,54.613115,51.762495,24.311398,32.274395,35.925153,25.87281,21.564334,23.274868,17.313022,28.097173,27.224555
ENSG00000001630,126.154004,91.256659,95.246149,76.220305,63.76878,67.949911,117.590593,87.156194,82.969394,75.671436,64.20592,41.813757
ENSG00000001631,32.32591,33.360922,29.862096,26.295119,19.386428,17.321709,32.682392,20.810034,21.736236,25.10463,20.640119,21.871482
ENSG00000002016,5.847095,9.678567,7.811174,10.189538,12.894253,10.592367,16.308632,13.894216,14.640271,12.560518,12.639746,11.35261
ENSG00000002079,3.752345,1.559488,1.394865,0,0,0,0.437116,0.638357,0.463356,2.450863,0.423236,0.588426
ENSG00000002330,76.804952,70.358355,71.636287,79.963844,108.312373,96.890227,166.877297,169.680811,170.862735,60.197006,52.747035,51.244956
ENSG00000002549,42.621238,35.717783,35.431623,102.309024,89.065369,88.700053,88.003416,67.808047,76.312699,67.077497,45.420873,45.339054
ENSG00000002586,262.544549,297.865503,295.485566,129.79384,158.738118,154.613184,179.414497,165.742071,182.221981,81.245621,94.18701,90.171579
ENSG00000002587,2.579926,2.292392,2.928448,0.025982,0.138911,0.062745,42.856508,32.576641,21.78515,4.264135,1.992418,3.579177
ENSG00000002726,0.140485,0.134157,0.135386,0.03059,0.091947,0.06781,0,0.574466,0.427275,0,0,0
ENSG00000002745,0.956716,5.708942,5.214769,0,0,0.01872,0.042025,0.095345,0.101086,0,0,0
ENSG00000002746,6.250621,5.555586,5.197576,3.383424,2.443797,4.281556,1.092446,0.953663,2.182844,0.013335,0.034062,0.032967
ENSG00000002822,17.060466,13.789611,12.604021,19.444976,13.131191,13.56103,49.18235,24.826831,31.00327,13.851798,10.30777,7.013205
ENSG00000002834,183.051158,144.883494,152.625036,63.329408,61.865299,64.489289,170.906134,169.129301,182.644564,330.347276,304.427804,245.243178
ENSG00000002919,15.613478,15.838169,15.516613,40.898402,62.253328,56.679105,14.11771,11.767057,13.223117,13.140417,12.698723,14.363376
ENSG00000002933,1.367863,9.593845,4.98,0.233599,0.369062,0.603063,0.060143,0.463793,0.193221,0,0,0
ENSG00000003056,150.514694,209.535031,213.382554,126.368319,137.551361,130.445745,229.152557,228.812152,240.902584,168.687138,171.687807,166.053551
ENSG00000003096,1.416769,2.57724,5.837674,211.013679,228.722792,229.183687,0,0,0.085568,1.811093,2.139502,1.263138
ENSG00000003137,5.412502,6.730592,4.773974,0.853479,2.755052,2.283285,7.987766,5.185197,5.180717,0.208477,0.183635,0.124669
ENSG00000003147,4.014835,5.642234,5.546283,13.26773,5.675858,10.062452,4.384333,10.002845,7.066917,4.411582,4.87645,4.24671
ENSG00000003249,23.304303,32.287218,37.938101,14.56729,22.807875,23.239296,2.311835,2.837914,4.250784,18.938638,15.645387,11.4689
ENSG00000003393,11.332348,15.012373,13.988734,13.172394,18.116629,16.539505,11.563263,18.316807,19.159165,18.540121,28.492065,34.702826
ENSG00000003400,9.241977,8.338601,8.346988,2.204134,7.32665,8.545474,4.005524,5.663411,6.366178,2.328895,4.535618,5.834871
ENSG00000003402,37.923047,31.766559,31.939823,36.976029,38.450242,39.016422,33.072694,15.636512,18.189102,46.47988,53.262901,50.130209
ENSG00000003436,105.131963,48.494242,49.629518,3.138917,4.193036,6.009079,6.280463,6.161387,6.83878,42.250294,21.248369,11.497982
ENSG00000003509,14.138916,12.345203,12.971176,15.908618,12.784095,17.458622,12.30996,12.88768,15.154815,12.23999,14.090172,13.687909
ENSG00000003756,71.61207,53.450833,54.913319,64.327657,65.401093,53.381517,54.395936,38.173778,33.221169,28.300382,31.79756,28.868013
ENSG00000003987,0.186617,0.08934,0.068106,0,0.21003,0.015065,0.641422,0.745625,1.020312,0,0,0
ENSG00000003989,17.243225,16.469524,15.561303,15.476846,22.10638,24.942775,4.014622,2.311147,2.41599,7.214058,6.166797,4.465241
ENSG00000004059,248.056657,207.409554,225.893105,196.834248,178.377285,184.432869,263.542596,234.658726,247.142486,81.471056,83.280475,74.402498
ENSG00000004139,2.552394,2.583713,2.260717,0.175555,0.733376,0.816973,3.660661,5.351771,6.950444,1.161361,1.226797,2.323459
ENSG00000004142,112.52218,104.25858,104.043062,76.322886,68.088813,62.706411,109.835299,87.754793,98.66725,125.510653,107.883034,94.188973
ENSG00000004399,5.618585,19.854515,10.908024,2.540362,10.641259,10.975105,0.053386,0.51743,0.057042,40.970408,34.05248,31.610966
ENSG00000004455,229.770575,225.825804,248.688818,230.815192,223.881764,224.784423,197.689069,141.456833,153.555368,229.973866,216.632415,183.766032
ENSG00000004468,0.314264,1.645386,0.407802,3.869575,5.64632,5.003554,0.011239,0.081728,0.097385,0,0.048105,0.037507
ENSG00000004478,137.609222,122.434092,132.746193,93.088999,91.704914,92.927275,195.61706,181.712738,193.553928,106.073882,81.597061,52.146209
ENSG00000004487,57.60823,57.775457,54.409102,135.522305,138.536803,141.80742,36.008961,47.985835,51.332057,30.069645,33.964982,28.708088
ENSG00000004534,36.685413,29.557064,29.007642,74.084824,77.253746,69.118016,38.953882,21.169786,24.905256,25.240039,20.970569,18.698904
ENSG00000004660,9.947023,4.963883,5.246977,2.30967,2.179214,2.209691,2.975211,3.188647,3.394586,6.686335,4.090961,3.152269
ENSG00000004700,61.689997,87.909166,93.525652,63.908903,68.445572,70.769495,77.199045,67.512067,71.833,59.933719,51.059341,49.765264
ENSG00000004766,17.849949,22.744247,23.976758,11.025568,10.726968,16.037034,13.932565,15.097508,17.119132,11.264454,13.525556,10.800117
ENSG00000004776,0.123816,0.695993,1.380148,0.167502,0.167723,0.179599,0.151172,0.152515,0.161821,0.271315,0.05221,0.251984
ENSG00000004777,18.671706,46.16315,34.795079,3.283581,7.014441,7.389343,2.275751,1.761715,1.651544,7.9969,3.962851,5.312877
ENSG00000004779,177.406804,141.743068,137.018284,217.834217,187.665558,191.681599,234.722,202.992415,223.825444,138.446994,148.915896,141.522613
ENSG00000004799,2.047215,2.804606,2.850737,14.547679,20.437386,18.572546,0.388732,0.982749,1.438058,3.62787,3.183218,5.868669
ENSG00000004809,0.386984,0.046872,0.48719,0,0,0,0,0.424495,0,0,0,0.029531
ENSG00000004838,1.671498,9.067416,7.560821,0.70724,3.190222,2.853817,0,0.274021,0.912089,0.173454,0.3234,1.439571
ENSG00000004846,0.038219,0.014452,0.055884,0.024236,0,0.02715,0,0.016558,0.058023,0,0.076888,0.127061
ENSG00000004848,0,0.245076,0.123674,0.128312,0.231435,0.268454,0.04636,0.070121,0.092935,0,0,0
